original_id,sha256,review_status,reference_class_id,reviewer,reviewer_kind,reviewed_at,evidence
n01440764_10592,917867323710069b9dd41bb941b5f4f8ff12098ffc2730eb37228d81a8f2b767,confirmed,n01440764,Codex visual inspection,assistant_visual,2026-09-07,Person holds a clearly visible fish consistent with the inherited tench class within this candidate set. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n01440764_10792,4053b88622badbbf7a69e9170229f9a5ba21beeb0c6d25ddc53bd0eba539644f,confirmed,n01440764,Codex visual inspection,assistant_visual,2026-09-07,Large olive-gold fish is visible; caption also identifies tench. Visual and inherited label agree. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n01440764_10822,c9d770d225557bcb537a483de5399553f4be8c9c07ffd7c674709755171393f7,confirmed,n01440764,Codex visual inspection,assistant_visual,2026-09-07,Olive fish with rounded profile is clearly visible in the person's hands; consistent with inherited tench. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n01440764_11841,293c319399a10c230a363032e2e9cc357d0d4641919502d5f0cd7a8c9d954604,confirmed,n01440764,Codex visual inspection,assistant_visual,2026-09-07,Full fish profile and rounded fins are visible on mat; consistent with inherited tench. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n01440764_13751,da3a277d36400fa140ff12ce56c3cd885a099507b8c24c36457b24f4debb2c19,confirmed,n01440764,Codex visual inspection,assistant_visual,2026-09-07,"Person holds a clearly visible olive-gold fish, consistent with inherited tench. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb"
n02102040_1252,0cc699db79694982189ddb524b5ae31cc67ccf834a080263ddf97c42be0e8603,uncertain,n02102040,Codex visual inspection,assistant_visual,2026-09-07,Dogs are partly occluded on a bed; breed cannot be established confidently from this image. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n02102040_1301,3d233a985a158fc33dfc41b84b6aaab88d63249a38e81e9054a6b5b10f84543f,uncertain,n02102040,Codex visual inspection,assistant_visual,2026-09-07,Beach scene dominates; distant small dog does not support confident breed identification. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n02102040_1302,fcb1de306e51b149be59894919e3b0d866702a2e2a06518fc08fcef74a9e65a7,confirmed,n02102040,Codex visual inspection,assistant_visual,2026-09-07,Brown-white dog with drooping ears and spaniel appearance is clearly visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n02102040_1310,e6297dcfb576b32ac79259fcac0d22fedf1ede988c0fbbeb39e42676006de96f,confirmed,n02102040,Codex visual inspection,assistant_visual,2026-09-07,Black-white puppies show drooping ears and spaniel appearance consistent with inherited class. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n02102040_1791,5b76ff63cacfff081ee32b6ae8c9cbe38dce4ddd75b066eb43fd1ea3ce2df54a,confirmed,n02102040,Codex visual inspection,assistant_visual,2026-09-07,"Dog head and long feathered ears are visible, consistent with inherited springer spaniel. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb"
n02102040_1910,32f15b4d74f0de339d686008a0965ea55877db9498d3ac790f62eaf6274a747e,uncertain,n02102040,Codex visual inspection,assistant_visual,2026-09-07,Small dog in distant corner of leaf-covered scene; breed details insufficient. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
