编号,简称与年份,完整题名,解决的问题,做了什么,核心贡献与创新点,验证与项目关系,参考文献,一手来源
1,DeepXplore，2017,DeepXplore: Automated Whitebox Testing of Deep Learning Systems.,手工测试难触及边角行为,联合神经元覆盖、模型差异与梯度搜索,将内部覆盖和差分反馈结合为自动测试框架,多任务模型评估；需内部访问，不直接给出视觉条件缺口,"Pei, K.; Cao, Y.; Yang, J.; Jana, S. **DeepXplore: Automated Whitebox Testing of Deep Learning Systems.** SOSP, 2017. DOI: 10.1145/3132747.3132785. [原文入口](https://arxiv.org/abs/1705.06640)。",https://arxiv.org/abs/1705.06640
2,DeepGauge，2018,DeepGauge: Multi-Granularity Testing Criteria for Deep Learning Systems.,单一粒度难刻画测试行为,构造多粒度覆盖准则,提供更丰富的网络覆盖描述,用分类模型和对抗样本评价；指标细化不等于语义充分,"Ma, L., et al. **DeepGauge: Multi-Granularity Testing Criteria for Deep Learning Systems.** ASE, 2018. DOI: 10.1145/3238147.3238202. [原文入口](https://arxiv.org/abs/1803.07519)。",https://arxiv.org/abs/1803.07519
3,Surprise Adequacy，2019,Guiding Deep Learning System Testing using Surprise Adequacy.,简单激活计数难描述输入的新颖性,比较测试与训练数据引发的网络行为,把相对训练行为的“惊讶程度”用于测试,测试与重训练评估；依赖模型行为及训练参照,"Kim, J.; Feldt, R.; Yoo, S. **Guiding Deep Learning System Testing using Surprise Adequacy.** ICSE, 2019. DOI: 10.1109/ICSE.2019.00108. [原文入口](https://arxiv.org/abs/1808.08444)；[作者工件及会议书目](https://github.com/coinse/sadl)。",https://arxiv.org/abs/1808.08444 ; https://github.com/coinse/sadl
4,NLC，2023,Revisiting Neuron Coverage for DNN Testing: A Layer-Wise and Distribution-Aware Criterion.,如何以分布刻画网络行为覆盖,以层为单位统计输出分布,将覆盖关注点扩展到层分布性质,多任务实验；必须与[5]的复核一起理解,"Yuan, Y.; Pang, Q.; Wang, S. **Revisiting Neuron Coverage for DNN Testing: A Layer-Wise and Distribution-Aware Criterion.** ICSE, 2023；预印本始于2021年。 [原文入口](https://arxiv.org/abs/2112.01955)。",https://arxiv.org/abs/2112.01955
5,NLC Critical Review，2026,"Revisiting ""Revisiting Neuron Coverage for DNN Testing: A Layer-Wise and Distribution-Aware Criterion"": A Critical Review and Implications on DNN Coverage Testing.",NLC 的性质与评价依据是否成立,检查单调性、顺序依赖及实验排序,提供针对覆盖度量的反例与复核,原文含实证检验；可用于设计本项目指标性质检查,"Kim, J.; Humbatova, N.; Jahangirova, G.; Yoo, S.; Tonella, P. **Revisiting ""Revisiting Neuron Coverage for DNN Testing: A Layer-Wise and Distribution-Aware Criterion"": A Critical Review and Implications on DNN Coverage Testing.** 2026，arXiv:2601.08729；来源备注 ICSE 2026。 [原文入口](https://arxiv.org/abs/2601.08729)。",https://arxiv.org/abs/2601.08729
6,IDC，2023,Input Distribution Coverage: Measuring Feature Interaction Adequacy in Neural Network Testing.,缺少输入规格时怎样衡量黑盒充分性,VAE表示、可行域筛选、潜空间交互覆盖,建立输入分布上的组合覆盖域,特征多样性及测试能力实验；最直接的输入覆盖比较对象,"Dola, S.; Dwyer, M. B.; Soffa, M. L. **Input Distribution Coverage: Measuring Feature Interaction Adequacy in Neural Network Testing.** ACM TOSEM, 32(3), Article 81, 2023. DOI: 10.1145/3576040. [出版方入口](https://doi.org/10.1145/3576040)。",https://doi.org/10.1145/3576040
7,Dataset Characterization，2019,Coverage Testing of Deep Learning Models using Dataset Characterization.,怎样从数据性质组织测试,等价划分、中心位置、边界及成对边界刻画,数据质量维度与测试生成关联,多个图像分类数据集；本项目需说明可解释属性增加的信息,"Mani, S.; Sankaran, A.; Tamilselvam, S.; Sethi, A. **Coverage Testing of Deep Learning Models using Dataset Characterization.** arXiv:1911.07309, 2019；本文按预印本引用。 [原文入口](https://arxiv.org/abs/1911.07309)。",https://arxiv.org/abs/1911.07309
8,Assessing and Remedying Coverage，2019,Assessing and Remedying Coverage for a Given Dataset.,哪些类别属性组合样本不足,搜索欠覆盖区域并求补充数据方案,将组合缺口发现与数据补足连接,理论及真实数据实验；默认属性可用，需另处理视觉标签误差,"Asudeh, A.; Jin, Z.; Jagadish, H. V. **Assessing and Remedying Coverage for a Given Dataset.** ICDE, 2019. DOI: 10.1109/ICDE.2019.00056. [原文入口](https://arxiv.org/abs/1810.06742)。",https://arxiv.org/abs/1810.06742
9,CIT4DNN，2024,CIT4DNN: Generating Diverse and Rare Inputs for Neural Networks Using Latent Space Combinatorial Testing.,如何生成多样、稀有的测试输入,潜空间组合测试与几何约束生成,把可行的稀有区域纳入生成目标,多数据集及模型评估；生成与已有真实图像补选设置不同,"Dola, S.; McDaniel, R.; Dwyer, M. B.; Soffa, M. L. **CIT4DNN: Generating Diverse and Rare Inputs for Neural Networks Using Latent Space Combinatorial Testing.** ICSE, 2024. DOI: 10.1145/3597503.3639106. [会议论文页](https://conf.researchr.org/details/icse-2024/icse-2024-research-track/104/CIT4DNN-Generating-Diverse-and-Rare-Inputs-for-Neural-Networks-Using-Latent-Space-Co)；[作者工件](https://github.com/less-lab-uva/CIT4DNN)。",https://conf.researchr.org/details/icse-2024/icse-2024-research-track/104/CIT4DNN-Generating-Diverse-and-Rare-Inputs-for-Neural-Networks-Using-Latent-Space-Co ; https://github.com/less-lab-uva/CIT4DNN
10,DeepHyperion，2021,DeepHyperion: Exploring the Feature Space of Deep Learning-Based Systems through Illumination Search.,如何解释特征条件与模型行为,特征空间地图与 illumination search,系统探索可解释特征空间,原文展示生成输入及行为地图；应比较缺口解释和探索效率,"Zohdinasab, T.; Riccio, V.; Gambi, A.; Tonella, P. **DeepHyperion: Exploring the Feature Space of Deep Learning-Based Systems through Illumination Search.** ISSTA, 2021. [原文入口](https://arxiv.org/abs/2107.06997)。",https://arxiv.org/abs/2107.06997
11,RBT4DNN，2025,RBT4DNN: Requirements-based Testing of Neural Networks.,自然语言要求如何落实到 DNN 测试,术语、逻辑前提、生成模型微调及后置条件检查,把语义需求转为有针对性的测试,检验需求一致性与检错；本项目须明确自己的测试需求来源,"Mozumder, N. J.; Toledo, F.; Dola, S.; Dwyer, M. B. **RBT4DNN: Requirements-based Testing of Neural Networks.** arXiv:2504.02737v3, 2025，预印本。 [原文入口](https://arxiv.org/abs/2504.02737v3)。",https://arxiv.org/abs/2504.02737v3
12,S3C，2024,S3C: Spatial Semantic Scene Coverage for Autonomous Vehicles.,如何解释视觉场景覆盖及行为差别,用场景图构造空间语义覆盖域,把场景关系映射为可解释测试规格,仿真与开放数据研究；可借鉴多对象关系，不能称空间覆盖空白,"Woodlief, T.; Toledo, F.; Elbaum, S.; Dwyer, M. B. **S3C: Spatial Semantic Scene Coverage for Autonomous Vehicles.** ICSE, 2024. DOI: 10.1145/3597503.3639178. [作者论文页](https://treywoodlief.com/publication/2024-4-20-s3c)；[原文及工件](https://github.com/less-lab-uva/s3c)。",https://treywoodlief.com/publication/2024-4-20-s3c ; https://github.com/less-lab-uva/s3c
13,TEASMA，2024,TEASMA: A Practical Methodology for Test Adequacy Assessment of Deep Neural Networks.,高准确率测试集是否有检错能力,从已有充分性指标建立 DNN 特定预测模型,将充分性评价组织为故障检出率预测流程,多模型与数据评估；跨模型有效性仍须单独检验,"Abbasishahkoo, A.; Dadkhah, M.; Briand, L.; Lin, D. **TEASMA: A Practical Methodology for Test Adequacy Assessment of Deep Neural Networks.** IEEE TSE, 2024. DOI: 10.1109/TSE.2024.3482984. [原文入口](https://arxiv.org/abs/2308.01311v4)。",https://arxiv.org/abs/2308.01311v4
14,Domino，2022,Domino: Discovering Systematic Errors with Cross-Modal Embeddings.,总体高分掩盖哪些薄弱子集,跨模态嵌入、错误感知聚类与描述,联合切片薄弱性和语义一致性,系统切片评估；需要表现信号，不能替代无样本条件的需求定义,"Eyuboglu, S., et al. **Domino: Discovering Systematic Errors with Cross-Modal Embeddings.** ICLR, 2022. [原文入口](https://arxiv.org/abs/2203.14960)。",https://arxiv.org/abs/2203.14960
15,LADDER，2025,LADDER: Language-Driven Slice Discovery and Error Rectification in Vision Classifiers.,固定属性库难覆盖复杂偏差,从模型表示及文本线索生成偏差假设、伪标签,语言推理辅助切片发现与纠错,自然和医学图像验证；正式版含内部激活使用，非纯输入方法,"Ghosh, S.; Syed, R.; Wang, C.; Choudhary, V.; Li, B.; Poynton, C. B.; Visweswaran, S.; Batmanghelich, K. **LADDER: Language-Driven Slice Discovery and Error Rectification in Vision Classifiers.** Findings of ACL, 2025, pp. 22935–22970. DOI: 10.18653/v1/2025.findings-acl.1177. [正式版](https://aclanthology.org/2025.findings-acl.1177/)。",https://aclanthology.org/2025.findings-acl.1177/
16,CLIP，2021,Learning Transferable Visual Models From Natural Language Supervision.,固定类别监督限制视觉概念迁移,图文配对学习并以文本进行零样本迁移,形成可复用的跨模态表示,多视觉任务测试；可作属性工具或嵌入基线，非充分性指标,"Radford, A., et al. **Learning Transferable Visual Models From Natural Language Supervision.** ICML, PMLR 139, 2021, pp. 8748–8763. [正式版](https://proceedings.mlr.press/v139/radford21a.html)。",https://proceedings.mlr.press/v139/radford21a.html
17,POPE，2023,Evaluating Object Hallucination in Large Vision-Language Models.,如何评价模型描述中的对象幻觉,以对象存在性问询构建评价,减少自由描述形式对幻觉评测的干扰,多视觉语言模型实验；对象存在性不等于几何/遮挡标注可靠性,"Li, Y.; Du, Y.; Zhou, K.; Wang, J.; Zhao, X.; Wen, J.-R. **Evaluating Object Hallucination in Large Vision-Language Models.** EMNLP, 2023, pp. 292–305. DOI: 10.18653/v1/2023.emnlp-main.20. [正式版](https://aclanthology.org/2023.emnlp-main.20/)。",https://aclanthology.org/2023.emnlp-main.20/
18,Core-Set，2018,Active Learning for Convolutional Neural Networks: A Core-Set Approach.,有限标注预算如何选代表性样本,将批量主动学习建模为几何子集选择,用数据几何联系子集选择与学习效果,理论及分类实验；可借用选样思想，不直接移用训练目标保证,"Sener, O.; Savarese, S. **Active Learning for Convolutional Neural Networks: A Core-Set Approach.** ICLR, 2018. [原文入口](https://arxiv.org/abs/1708.00489)。",https://arxiv.org/abs/1708.00489
19,DeepGini，2020,DeepGini: Prioritizing Massive Tests to Enhance the Robustness of Deep Neural Networks.,如何先标注更可能出错的测试,根据预测分布不纯度排序,提供成本较低的测试优先级策略,测试排序与重训练实验；需要概率输出且不直接解释覆盖缺口,"Feng, Y.; Shi, Q.; Gao, X.; Wan, J.; Fang, C.; Chen, Z. **DeepGini: Prioritizing Massive Tests to Enhance the Robustness of Deep Neural Networks.** ISSTA, 2020. DOI: 10.1145/3395363.3397357. [作者保存的正式论文](https://qingkaishi.github.io/public_pdfs/ISSTA20-DeepGini.pdf)；[预印本](https://arxiv.org/abs/1903.00661)。",https://qingkaishi.github.io/public_pdfs/ISSTA20-DeepGini.pdf ; https://arxiv.org/abs/1903.00661
20,Simple Techniques，2022,Simple Techniques Work Surprisingly Well for Neural Network Test Prioritization and Active Learning (Replicability Study).,复杂策略是否胜过简单不确定性方法,复核 DeepGini 并比较简单基线,揭示简单策略的竞争力,大规模复核；本项目若追求检错收益，应加入熵等适用基线,"Weiss, M.; Tonella, P. **Simple Techniques Work Surprisingly Well for Neural Network Test Prioritization and Active Learning (Replicability Study).** ISSTA, 2022. DOI: 10.1145/3533767.3534375. [原文入口](https://arxiv.org/abs/2205.00664)。",https://arxiv.org/abs/2205.00664
